Name,BSE Code,NSE Code,ISIN Code
Aptus Value Hou.,543335,APTUS,INE852O01025
Arvind Ltd,500101,ARVIND,INE034A01011
NMDC Steel,543768,NSLNISP,INE0NNS01018
A B Lifestyle,544403,ABLBL,INE14LE01019
India Cements,530005,INDIACEM,INE383A01012
KEC International,532714,KEC,INE389H01022
Trident,521064,TRIDENT,INE064C01022
Minda Corp,538962,MINDACORP,INE842C01021
Azad Engineering,544061,AZAD,INE02IJ01035
JM Financial,523405,JMFINANCIL,INE780C01023
Indegene,544172,INDGN,INE065X01017
Apollo Micro Sys,540879,APOLLO,INE713T01028
Shaily Engineer.,501423,SHAILY,INE151G01028
Atlanta Electric,544527,ATLANTAELE,INE0Z4F01028
Privi Speci.,530117,PRIVISCL,INE959A01019
UTI AMC,543238,UTIAMC,INE094J01016
Concord Biotech,543960,CONCORDBIO,INE338H01029
Gravita India,533282,GRAVITA,INE024L01027
Tega Inds.,543413,TEGA,INE011K01018
Indiamart Inter.,542726,INDIAMART,INE933S01016
SignatureGlobal,543990,SIGNATURE,INE903U01023
Afcons Infrastr.,544280,AFCONS,INE101I01011
Blue Dart Expres,526612,BLUEDART,INE233B01017
Jupiter Wagons,533272,JWL,INE209L01016
Jubilant Ingrev.,543271,JUBLINGREA,INE0BY001018
Honasa Consumer,544014,HONASA,INE0J5401028
Brainbees Solut.,544226,FIRSTCRY,INE02RE01045
HEG,509631,HEG,INE545A01024
Thangamayil Jew.,533158,THANGAMAYL,INE085J01014
Nuvoco Vistas,543334,NUVOCO,INE118D01016
Prudent Corp.,543527,PRUDENT,INE00F201020
Home First Finan,543259,HOMEFIRST,INE481N01025
Zensar Tech.,504067,ZENSARTECH,INE520A01027
Reliance Power,532939,RPOWER,INE614G01033
Medplus Health,543427,MEDPLUS,INE804L01022
Indian Energy Ex,540750,IEX,INE022Q01020
Can Fin Homes,511196,CANFINHOME,INE477A01020
Balrampur Chini,500038,BALRAMCHIN,INE119A01028
Lumax Auto Tech.,532796,LUMAXTECH,INE872H01027
Sanofi Consumer,544250,SANOFICONR,INE0UOS01011
Shadowfax Technologies,544685,SHADOWFAX,INE12UN01015
Godrej Agrovet,540743,GODREJAGRO,INE850D01014
Sandur Manganese,504918,SANDUMA,INE149K01016
Corona Remedies,544644,CORONA,INE02ZQ01018
Nazara Technolo.,543280,NAZARA,INE418L01047
Elecon Engg.Co,505700,ELECON,INE205B01031
T N Merc. Bank,543596,TMB,INE668A01016
BLS Internat.,540073,BLS,INE153T01027
Whirlpool India,500238,WHIRLPOOL,INE716A01013
PCBL Chemical,506590,PCBL,INE602A01031
IIFL Capital,542773,IIFLCAPS,INE489L01022
Park Medi World,544645,PARKHOSPS,INE119201023
The Bombay Burmah,501425,BBTC,INE050A01025
Strides Pharma,532531,STAR,INE939A01011
JK Tyre & Indust,530007,JKTYRE,INE573A01042
AAVAS Financiers,541988,AAVAS,INE216P01012
